url,id,pub,keyword,title
https://data.cdc.gov/resource/37nu-tuw8.csv,37nu-tuw8,Journal of Food Protection,"environmental health, food safety, food safety culture, food workers, health knowledge",development of an empirically derived measure of food safety culture in restaurants
https://data.cdc.gov/resource/39z2-9zu6.csv,39z2-9zu6,CDC,"admissions, coronavirus, covid-19, hospital capacity, hospitalizations, hospital occupancy, icu beds, inpatient beds, ncird-corvd","united states covid-19 hospitalization metrics by jurisdiction, timeseries – archived"
https://data.cdc.gov/resource/3ahs-wye3.csv,3ahs-wye3,CDC,"adult, age, any tobacco, cigar, cigarette, current, demographics, ecigarette, e-cigarette, education, ethnicity, glossary, hookah, methodology, national, office on smoking and health, osh, oshdata, pipe, prevalence, products, race, smokeless, smoker, state system, status, surveillance, survey, tobacco, tobacco products, tobacco use, user",national adult tobacco survey (nats) glossary and methodology
https://data.cdc.gov/resource/3apk-4u4f.csv,3apk-4u4f,National Center for Health Statistics,"age, all causes, children, coronavirus, covid-19, deaths, mortality, nchs, nvss, provisional, sex, united states","provisional covid-19 death counts by age in years, 2020-2023"
https://data.cdc.gov/resource/3bjr-fr6m.csv,3bjr-fr6m,data.cdc.gov,"cdc, centers for disease control and prevention","impaired driving death rate, by age and gender, 2012 & 2014, region 8 - denver"
https://data.cdc.gov/resource/3daf-8gde.csv,3daf-8gde,National Center for Health Statistics,"births, cohabitation, contraception, health, infertility, marriage, pregnancy, research-data-center, sdoh-access-to-health-care, sdoh-employment, sdoh-food-access, sdoh-food-insecurity, sdoh-health-literacy, sdoh-higher-education, sdoh-high-school, sdoh-housing-stability, sdoh-incarceration, sdoh-language, sdoh-poverty-income, sdoh-use-of-health-care, survey",restricted use national survey of family growth (nsfg)
https://data.cdc.gov/resource/3h58-x6cd.csv,3h58-x6cd,National Center for Health Statistics,"county teen birth trends, county trends on teen births, nchs, teen births, united states, u.s. teen birth rate",nchs - teen birth rates for age group 15-19 in the united states by county
https://data.cdc.gov/resource/3hwj-hqmh.csv,3hwj-hqmh,CDC,"abuse, alcohol use, breastfeeding, contraception, infant health, medicaid, mental health, morbidity, obesity, preconception health, pregnancy history, prenatal care, reproductive health, sleep behavior, smoke exposure, stress, tobacco use, unintended pregnancy, wic",cdc pramstat data for 2000
https://data.cdc.gov/resource/3myw-4j4q.csv,3myw-4j4q,NCIRD,"adults, coverage, flu vaccination, influenza, vaccination, vaccine coverage","cumulative influenza vaccination coverage by race/ethnicity and age group, nis-acm"
https://data.cdc.gov/resource/3nzu-udr9.csv,3nzu-udr9,National Center for Health Statistics,"adult, african americans, age, asian continental ancestry group, chronic conditions, continental population groups, european continental ancestry group, health risk factors, health us, hispanic americans, obesity, overweight, poverty, sdoh-poverty-income, sex","normal weight, overweight, and obesity among adults aged 20 and over, by selected characteristics: united states"
https://data.cdc.gov/resource/3pbe-qh9z.csv,3pbe-qh9z,CDC,"administration, age, coronavirus, covid-19, demographics, ethnicity, immunization, izdl, race, sex, vaccination","covid-19 primary series completion, booster dose eligibility, and booster dose receipt by age, united states "
https://data.cdc.gov/resource/3q3z-9ucr.csv,3q3z-9ucr,National Center for Health Statistics,"healthy people 2020, sdoh-access-to-health-care, sdoh-civic-participation, sdoh-crime-violence, sdoh-discrimination, sdoh-early-childhood, sdoh-employment, sdoh-environmental, sdoh-food-access, sdoh-food-insecurity, sdoh-health-literacy, sdoh-higher-education, sdoh-high-school, sdoh-housing-quality, sdoh-housing-stability, sdoh-incarceration, sdoh-language, sdoh-literacy, sdoh-poverty-income, sdoh-racism, sdoh-social-emotional, sdoh-source-of-health-care, sdoh-transportation, sdoh-use-of-health-care, sdoh-workplace",healthy people 2020 final progress by population group chart and table
https://data.cdc.gov/resource/3qs9-qnbs.csv,3qs9-qnbs,Environmental Public Health Tracking,"covid-19, executive order, gathering bans, government order, legal epidemiology, mitigation, proclamation, public health order, social distancing","u.s. state and territorial gathering bans: march 11, 2020-may 31, 2021 by county by day"
https://data.cdc.gov/resource/3se3-rwj2.csv,3se3-rwj2,data.cdc.gov,"cdc, centers for disease control and prevention","impaired driving death rate, by age and gender, 2012 & 2014, region 9 - san francisco"
https://data.cdc.gov/resource/3sh4-uqpm.csv,3sh4-uqpm,National Center for Health Statistics,"age, age group, coronavirus, covid-19, deaths, hispanic origin, mortality, nchs, nvss, provisional, quarterly, race, sickle cell disease, united states",ah sickle cell disease provisional death counts 2019-2021
https://data.cdc.gov/resource/3ts8-hsrw.csv,3ts8-hsrw,National Center for Health Statistics,"age, age group, all causes, coronavirus, covid-19, deaths, education, hispanic origin, mortality, nchs, nvss, provisional, race, sdoh-higher-education, sdoh-high-school, sex, united states","ah provisional covid-19 deaths by educational attainment, race, sex, and age"
https://data.cdc.gov/resource/3x54-3thk.csv,3x54-3thk,CDC,"art, assisted reproductive technology, clinic, fertility, infertility, services, success rates",2020 final assisted reproductive technology (art) success rates
https://data.cdc.gov/resource/42jj-z7fa.csv,42jj-z7fa,Environmental Public Health Tracking,"covid-19, executive order, government order, legal epidemiology, mask mandates, masks, mitigation, proclamation, public health order, social distancing","u.s. state and territorial public mask mandates from april 10, 2020 through july 20, 2021 by county by day"
https://data.cdc.gov/resource/42pu-ymxu.csv,42pu-ymxu,National Center for Health Statistics,"linked medicare data, nhcs, research-data-center, sdoh-access-to-health-care, sdoh-source-of-health-care, sdoh-use-of-health-care",national hospital care survey (nhcs) linked to centers for medicare & medicaid (cms) 2014-2018 medicare data
https://data.cdc.gov/resource/4892-xxjy.csv,4892-xxjy,National Center for Health Statistics,"american indian or alaska native, asian, black or african american, death rates, health us, heart disease, hispanic or latino, men, mortality, native hawaiian or other pacific islander, white, women","dqs death rates for heart disease, by sex, race, hispanic origin, and age: united states from cdc wonder"
https://data.cdc.gov/resource/489q-934x.csv,489q-934x,National Center for Health Statistics,"age, age group, all causes, alzheimer disease, cancer, causes of death, cerebrovascular disease, chronic liver disease, chronic lower respiratory disease, cirrhosis, coronavirus, covid-19, death rate, deaths, diabetes, diseases of heart, drug overdose, falls, firearm injury, hiv disease, homicide, hypertensive disease, influenza, kidney disease, mortality, nchs, nvss, parkinson disease, pneumonia, pneumonitis due to solids and liquids, provisional, quarterly, septicemia, sex, state, suicide, unintentional injuries, united states, vsrr",nchs - vsrr quarterly provisional estimates for selected indicators of mortality
https://data.cdc.gov/resource/48ev-2ygq.csv,48ev-2ygq,National Center for Health Statistics,"nhis, sdoh-access-to-health-care, sdoh-employment, sdoh-food-access, sdoh-food-insecurity, sdoh-higher-education, sdoh-high-school, sdoh-housing-stability, sdoh-poverty-income, sdoh-source-of-health-care, sdoh-use-of-health-care, sdoh-workplace, summary health statistics",dqs nhis children summary statistics footnotes
https://data.cdc.gov/resource/4day-mt2f.csv,4day-mt2f,data.cdc.gov,"deaths, drug overdose, firearm injury, homicide, mortality, nchs, suicide","mapping injury, overdose, and violence - census tract"
https://data.cdc.gov/resource/4giy-47wy.csv,4giy-47wy,National Center for Health Statistics,"american indian or alaska native, asian, black or african american, cancer, death rates, health us, hispanic or latino, men, mortality, native hawaiian or other pacific islander, neoplasms, white, women","dqs death rates for malignant neoplasms, by sex, race, hispanic origin, and age: united states"
https://data.cdc.gov/resource/4khb-4xch.csv,4khb-4xch,Journal of Food Protection,"centers for disease control and prevention, environmental health, foodborne, outbreak",environmental antecedents of foodborne illness outbreaks
https://data.cdc.gov/resource/4kn2-jirk.csv,4kn2-jirk,National Center for Health Statistics,"10th grade, 12th grade, 8th grade, alcohol, binge drinking, black, cigarettes, cocaine, drug use, drug use among students, e-cigarette use, ecstacy, female, health us, inhalants, male, marijuana, marijuana vaping, mdma, molly, monitoring the future, national institute on drug abuse, nicotine vaping, sdoh-high-school, smoking, students, substance use, substance use among students, tobacco use, vaping, white","dqs use of selected substances in the past 30 days among 12th graders, 10th graders, and 8th graders, by sex and race: united states"
https://data.cdc.gov/resource/4ueh-89p9.csv,4ueh-89p9,National Center for Health Statistics,"age, age group, all causes, coronavirus, covid-19, deaths, education, hispanic origin, mortality, nchs, nvss, provisional, race, sdoh-higher-education, sdoh-high-school, sex, united states, yearly","ah deaths by educational attainment, 2019-2020"
https://data.cdc.gov/resource/4ya2-fkvt.csv,4ya2-fkvt,CDC,"abuse, alcohol use, breastfeeding, contraception, infant health, medicaid, mental health, morbidity, obesity, preconception health, pregnancy history, prenatal care, reproductive health, sleep behavior, smoke exposure, stress, tobacco use, unintended pregnancy, wic",cdc pramstat data for 2008
https://data.cdc.gov/resource/4yy2-qa9v.csv,4yy2-qa9v,CDC,"art, assisted reproductive technology, clinic, fertility, infertility, services, success rates",2020 final assisted reproductive technology (art) summary
https://data.cdc.gov/resource/4zc2-9ujh.csv,4zc2-9ujh,data.cdc.gov,"agricultural fair, animal contact exhibit, circus, county or state fair, exotic animals, infectious disease, legal epidemiology, petting zoo, zoo, zoonotic disease",animal contact exhibits_legal epidemiology research procedure and code book_2016
https://data.cdc.gov/resource/4zxn-f9dq.csv,4zxn-f9dq,data.cdc.gov,"cases, coronavirus, covid-19, healthcare personnel, healthcare workers, ncird-corvd","covid-19 cases among healthcare personnel, by week - archived"
https://data.cdc.gov/resource/53mp-bpbv.csv,53mp-bpbv,National Center for Health Statistics,"chronic conditions, disability, e-cigarette use, opioid use, physical activity, research-data-center, sdoh-employment, sdoh-higher-education, sdoh-high-school, sdoh-poverty-income",nchs research and development survey (rands) round 3 restricted file
https://data.cdc.gov/resource/5586-cehn.csv,5586-cehn,National Center for Health Statistics,"assisted living facilities, long-term care, research-data-center, residential care facilities, residential care facility residents, residential care facility staff, sdoh-access-to-health-care, sdoh-use-of-health-care",national survey of residential care facilities - restricted resident-level dataset
https://data.cdc.gov/resource/55k8-ajvf.csv,55k8-ajvf,National Center for Health Statistics,"ambulatory-care, health center, health center component, health center encounter, namcs, reproductive health","national ambulatory medical care survey, health center component, preliminary estimates dashboard"
https://data.cdc.gov/resource/55uq-699y.csv,55uq-699y,NCIRD,"older adults, rsv, vaccination","weekly cumulative rsv vaccination coverage, by race and ethnicity, medicare fee-for-service beneficiaries aged ≥65 years, united states, data source: centers for medicare & medicaid services chronic conditions warehouse"
https://data.cdc.gov/resource/57qw-ifet.csv,57qw-ifet,CDC,"global, gtss, gyts, osh, tobacco, youth",global tobacco surveillance system (gtss) - global youth tobacco survey (gyts)
https://data.cdc.gov/resource/5amh-5sx3.csv,5amh-5sx3,CDC,"glossary, methodology",behavior risk factor surveillance system (brfss) glossary and methodology
https://data.cdc.gov/resource/5cg4-4qqe.csv,5cg4-4qqe,data.cdc.gov,"linked medicaid files, nchs surveys, research-data-center, sdoh-access-to-health-care, sdoh-civic-participation, sdoh-crime-violence, sdoh-early-childhood, sdoh-employment, sdoh-environmental, sdoh-food-access, sdoh-food-insecurity, sdoh-health-literacy, sdoh-higher-education, sdoh-high-school, sdoh-housing-quality, sdoh-housing-stability, sdoh-language, sdoh-poverty-income, sdoh-social-emotional, sdoh-source-of-health-care, sdoh-transportation, sdoh-use-of-health-care, sdoh-workplace, t-msis",nchs survey data linked to centers for medicare & medicaid services (cms) medicaid enrollment and claims files
https://data.cdc.gov/resource/5ekf-pmct.csv,5ekf-pmct,data.cdc.gov,"adults, brfss, health care coverage, heath care access",brfss prevalence and trends data: health care access/coverage for 2011
https://data.cdc.gov/resource/5i5k-6cmh.csv,5i5k-6cmh,CDC,"administration, age, coronavirus, covid-19, demographics, ethnicity, immunization, izdl, race, sex, vaccination","covid-19 vaccination age and sex trends in the united states, national and jurisdictional"
https://data.cdc.gov/resource/5nuu-6upy.csv,5nuu-6upy,data.cdc.gov,"cdc, centers for disease control and prevention","motor vehicle occupant death rate, by age and gender, 2012 & 2014,  region 10 - seattle"
https://data.cdc.gov/resource/5pqj-rvh4.csv,5pqj-rvh4,National Center for Health Statistics,"nhis, sdoh-access-to-health-care, sdoh-employment, sdoh-food-access, sdoh-food-insecurity, sdoh-higher-education, sdoh-high-school, sdoh-housing-stability, sdoh-poverty-income, sdoh-source-of-health-care, sdoh-use-of-health-care, sdoh-workplace, summary health statistics",nhis teen
https://data.cdc.gov/resource/5u84-m4rs.csv,5u84-m4rs,National Center for Health Statistics,"fitness, health statistics, nchs, nhanes, nnyfs, nutrition, physical activity, research-data-center, sdoh-access-to-health-care, sdoh-food-access, sdoh-food-insecurity, sdoh-health-literacy, sdoh-higher-education, sdoh-high-school, sdoh-language, sdoh-poverty-income, sdoh-source-of-health-care, sdoh-use-of-health-care, surveillance, survey",nhanes national youth fitness survey (nnyfs) restricted data
https://data.cdc.gov/resource/62d6-pm5i.csv,62d6-pm5i,Environmental Public Health Tracking,"covid-19, executive order, government order, legal epidemiology, mask mandates, masks, mitigation, proclamation, public health order, social distancing","u.s. state and territorial public mask mandates from april 10, 2020 through august 15, 2021 by county by day"
https://data.cdc.gov/resource/647a-wjd2.csv,647a-wjd2,Environmental Public Health Tracking,"business closure, business reopening, covid-19, executive order, government order, legal epidemiology, mitigation, proclamation, public health order, social distancing","u.s. state and territorial orders closing and reopening restaurants issued from march 11, 2020 through may 31, 2021 by county by day"
https://data.cdc.gov/resource/65mz-jvh5.csv,65mz-jvh5,National Center for Health Statistics,"age, age group, all causes, alzheimer disease, cancer, causes of death, cerebrovascular disease, chronic lower respiratory disease, coronavirus, covid-19, deaths, diabetes, diseases of heart, hispanic origin, influenza, kidney disease, monthly, mortality, natural cause, nchs, nvss, pneumonia, provisional, race, respiratory disease, septicemia, sex, united states","ah monthly provisional counts of deaths for select causes of death by sex, age, and race and hispanic origin"
https://data.cdc.gov/resource/66km-38zv.csv,66km-38zv,National Center for Health Statistics,"anxiety, covid-19, depression, life satisfaction, missed healthcare, research-data-center, sdoh-access-to-health-care, sdoh-employment, sdoh-higher-education, sdoh-high-school, sdoh-poverty-income, sdoh-social-emotional, sdoh-source-of-health-care, sdoh-transportation, sdoh-use-of-health-care, sdoh-workplace, telemedicine, vaccination",nchs research and development survey (rands) round 3 during covid-19 restricted file
https://data.cdc.gov/resource/68ej-h5ze.csv,68ej-h5ze,data.cdc.gov,"cdc, centers for disease control and prevention","impaired driving death rate, by age and gender, 2012 & 2014, region 5 - chicago"
https://data.cdc.gov/resource/6i2x-3kw3.csv,6i2x-3kw3,data.cdc.gov,"cdc, centers for disease control and prevention","motor vehicle occupant death rate, by age and gender, 2012 & 2014, region 5 - chicago"
https://data.cdc.gov/resource/6jg4-xsqq.csv,6jg4-xsqq,data.cdc.gov,"covid, covid19, covid-19, covidnet, covid-net, hospitalization rate, hospitalizations, rate, rates by age group, rates by race and ethnicity, respiratory illness, respiratory virus response, respnet, resp-net, surveillance",weekly rates of laboratory-confirmed covid-19 hospitalizations from the covid-net surveillance system
https://data.cdc.gov/resource/6k6h-dzju.csv,6k6h-dzju,National Center for Health Statistics,"assisted living facilities, long-term care, research-data-center, residential care facilities, residential care facility residents, residential care facility staff, sdoh-access-to-health-care, sdoh-source-of-health-care, sdoh-transportation, sdoh-use-of-health-care",national survey of residential care facilities - restricted facility-level dataset
https://data.cdc.gov/resource/6nbv-ifib.csv,6nbv-ifib,data.cdc.gov,"drought, environmental health","standardized precipitation evapotranspiration index, 1895-2016"
https://data.cdc.gov/resource/6nqh-vaj5.csv,6nqh-vaj5,National Center for Health Statistics,"discharge, hospital, hospitals, icd-9-cm, inpatient, research-data-center, sdoh-use-of-health-care, short-stay-hospitals","national hospital discharge survey (nhds) restricted data, 1965-2010"
https://data.cdc.gov/resource/6p3a-6xr9.csv,6p3a-6xr9,NCIRD,"adults, age, age group, covid-19, covid-19 vaccination, ethnicity, flu, influenza, race, vaccination, vaccination coverage","cumulative influenza vaccination coverage and intent for vaccination among adults 18 years and older by age, race/ethnicity, and covid-19 vaccination and intent, united states; ipsos knowledge panel and norc amerispeak omnibus surveys."
https://data.cdc.gov/resource/6ryw-hetw.csv,6ryw-hetw,CDC,"art, assisted reproductive technology, clinic, fertility, infertility, services, success rates",2021 final assisted reproductive technology (art) patient and cycle characteristics
https://data.cdc.gov/resource/6svj-q4zv.csv,6svj-q4zv,data.cdc.gov,"archive, ncird, ncird-id, respiratory-virus-response",outpatient respiratory illness activity map
https://data.cdc.gov/resource/6tkz-y37d.csv,6tkz-y37d,National Center for Health Statistics,"birth rates, ethnicity, hispanic origin, nchs, nonmarital, race, united states","nchs - birth rates for unmarried women by age, race, and hispanic origin: united states"
https://data.cdc.gov/resource/6vp6-wxuq.csv,6vp6-wxuq,CDC,"500cities, behaviors, brfss, census, cities, outcomes, prevalence, prevention, tracts, unhealthy","500 cities: local data for better health, 2019 release"
https://data.cdc.gov/resource/7b9s-s8ck.csv,7b9s-s8ck,CDC,"cardiovascular, cardiovascular disease, counties, county, heart, heart disease, stroke","rates and trends in heart disease and stroke mortality among us adults (35+) by county, age group, race/ethnicity, and sex – 2000-2019"
https://data.cdc.gov/resource/7dk4-g6vg.csv,7dk4-g6vg,CDC,"admissions, coronavirus, covid-19, hospital capacity, hospitalizations, hospital occupancy, icu beds, inpatient beds, ncird-corvd",weekly united states covid-19 hospitalization metrics by jurisdiction – archived
https://data.cdc.gov/resource/7pcd-2tnr.csv,7pcd-2tnr,National Center for Health Statistics,"hispanic origin, live birth rate, marital status, nchs, race, united states","nchs - pregnancy and live birth rates, by marital status and race and hispanic origin: united states, 1990-2010"
https://data.cdc.gov/resource/7pvw-pdbr.csv,7pvw-pdbr,CDC,"aggregate county data, cases, coronavirus, covid-19, ncird-corvd",united states covid-19 county level data sources - archived
https://data.cdc.gov/resource/7rih-tqi5.csv,7rih-tqi5,PHIC,"corpora, corpus, data science, eid, harvest-cdc-journals, informatics, language, linguistics, machine learning, ml, mmwr, morphology, ncstltphiw, pcd, phic, semantics, smokefree indoor air, text analysis","cdc text corpora for learners: mmwr, eid, and pcd article metadata"
https://data.cdc.gov/resource/7xhe-mv2e.csv,7xhe-mv2e,data.cdc.gov,"2020, imported, indigenous, malaria, measles, nedss, netss, nndss, wonder","nndss - table 1v. malaria to measles, indigenous"
https://data.cdc.gov/resource/7xvh-y5vh.csv,7xvh-y5vh,Environmental Public Health Tracking,"covid-19, executive order, gathering bans, government order, legal epidemiology, mitigation, proclamation, public health order, social distancing","u.s. state and territorial gathering bans: march 11, 2020-august 15, 2021 by county by day"
https://data.cdc.gov/resource/7ym9-zzt7.csv,7ym9-zzt7,National Center for Health Statistics,"dhis, injury, mental health, nchs, research-data-center, sdoh-access-to-health-care, sdoh-crime-violence, sdoh-discrimination, sdoh-social-emotional, sdoh-use-of-health-care",nhis—teen restricted use file
https://data.cdc.gov/resource/82ci-krud.csv,82ci-krud,CDC,"admissions, coronavirus, covid-19, hospital capacity, hospitalizations, hospital occupancy, icu beds, inpatient beds, ncird-corvd",weekly united states covid-19 hospitalization metrics by county (historical) – archived
https://data.cdc.gov/resource/8396-v7yb.csv,8396-v7yb,CDC,"case, community transmission, coronavirus, county, covid-19, laboratory, ncird-corvd",united states covid-19 county level of community transmission as originally posted - archived
https://data.cdc.gov/resource/847z-pxin.csv,847z-pxin,data.cdc.gov,"air pollution, asthma, environmental health, ozone","daily census tract-level ozone concentrations, 2011-2015"
https://data.cdc.gov/resource/89qs-mr7i.csv,89qs-mr7i,CDC,"coronavirus, covid-19, deaths, demographics, mortality, ncird-corvd","monthly covid-19 death rates per 100,000 population by age group, race and ethnicity, sex, and region"
https://data.cdc.gov/resource/89yk-m38d.csv,89yk-m38d,National Center for Health Statistics,"birth rates, births, ethnicity, fertility rates, hispanic origin, nchs, race, united states",nchs - natality measures for females by race and hispanic origin: united states
https://data.cdc.gov/resource/8dyx-9z99.csv,8dyx-9z99,NCIRD,"adults, coverage, flu vaccination, influenza, vaccination, vaccine coverage","cumulative influenza vaccination coverage by race/ethnicity and age group, nis-acm (archived)"
https://data.cdc.gov/resource/8fbp-accd.csv,8fbp-accd,NCIRD,"flu vaccination, iis, iqvia, nis-acm, nis-flu, vsd","weekly influenza vaccination coverage among pregnant women 18-49 years, by race and ethnicity"
https://data.cdc.gov/resource/8i5t-42wz.csv,8i5t-42wz,data.cdc.gov,"cdc, centers for disease control and prevention","motor vehicle occupant death rate, by age and gender, 2012 & 2014, region 8 - denver"
https://data.cdc.gov/resource/8ihh-n7ic.csv,8ihh-n7ic,data.cdc.gov,"cdc, centers for disease control and prevention","motor vehicle occupant death rate, by age and gender, 2012 & 2014, region 6 - dallas"
https://data.cdc.gov/resource/8kbq-i8ii.csv,8kbq-i8ii,National Center for Health Statistics,"births, county, date of birth, nchs, research-data-center, sdoh-access-to-health-care, sdoh-higher-education, sdoh-high-school, sdoh-source-of-health-care, sdoh-use-of-health-care, united states",nchs - all-county natality file with exact date of birth
https://data.cdc.gov/resource/8xy9-ubqz.csv,8xy9-ubqz,National Center for Health Statistics,"covid-19, rands, sdoh-access-to-health-care, sdoh-higher-education, sdoh-high-school, sdoh-use-of-health-care",access and use of telemedicine during covid-19
https://data.cdc.gov/resource/8zak-ewtm.csv,8zak-ewtm,data.cdc.gov,"brfss, current smokers, former smoker, non-smoker",brfss prevalence and trends data: tobacco use - four level smoking data for 1995-2010
https://data.cdc.gov/resource/8zea-kwnt.csv,8zea-kwnt,CDC,"e-cigarette, legislation, osh, policy, state system, youth access",cdc state system e-cigarette legislation - youth access
https://data.cdc.gov/resource/8zhx-mf8r.csv,8zhx-mf8r,National Center for Health Statistics,"access-to-health-care, civic-participation, crime-violence, discrimination, early-childhood, employment, environmental, food-insecurity, health-related behaviors, health status and conditions, higher-education, high-school, housing-stability, incarceration, language., mental health, paradata, poverty-income, racism, research-data-center, social determinants of health (sdoh), social-emotional, source-of-health-care, transportation, use-of-health-care, workplace",national health interview survey
https://data.cdc.gov/resource/92ri-yjps.csv,92ri-yjps,CDC,"art, assisted reproductive technology, clinic, fertility, infertility, services, success rates",2020 final assisted reproductive technology (art) services and profiles
https://data.cdc.gov/resource/95ax-ymtc.csv,95ax-ymtc,National Center for Health Statistics,"african americans, age, alaskan natives, american natives, analgesics, asian continental ancestry group, continental population groups, death, drug overdose, european continental ancestry group, health us, heroin, hispanic americans, injury, methadone, mortality, opioid, sex","drug overdose death rates, by drug type, sex, age, race, and hispanic origin: united states"
https://data.cdc.gov/resource/96sd-hxdt.csv,96sd-hxdt,data.cdc.gov,"air pollution, air quality, asthma, environmental health, national ambient air quality standards, national environmental health tracking network, particulate matter, pm2.5","daily census tract-level pm2.5 concentrations, 2016 - 2020"
https://data.cdc.gov/resource/9bhg-hcku.csv,9bhg-hcku,National Center for Health Statistics,"age, age group, coronavirus, covid-19, deaths, influenza, monthly, mortality, nchs, nvss, pneumonia, provisional, puerto rico, sex, state, united states, yearly",provisional covid-19 deaths by sex and age
https://data.cdc.gov/resource/9dzk-mvmi.csv,9dzk-mvmi,National Center for Health Statistics,"all causes, alzheimer disease, cancer, causes of death, cerebrovascular disease, chronic lower respiratory disease, coronavirus, covid-19, deaths, diabetes, diseases of heart, drug overdose, homicide, influenza, kidney disease, monthly, mortality, motor vehicle accidents, natural cause, nchs, nvss, pneumonia, provisional, respiratory disease, septicemia, suicide, unintentional injuries, united states","monthly provisional counts of deaths by select causes, 2020-2023"
https://data.cdc.gov/resource/9epi-jrff.csv,9epi-jrff,National Center for Health Statistics,"american dental association, dentists, health us, sdoh-access-to-health-care, united states","dqs dentists, by state: united states."
https://data.cdc.gov/resource/9f67-8jse.csv,9f67-8jse,National Center for Health Statistics,"discharge, hospital, hospitals, inpatient, sdoh-use-of-health-care, short-stay-hospitals",national hospital discharge survey (nhds) 1970-2010
https://data.cdc.gov/resource/9fpg-7hvw.csv,9fpg-7hvw,data.cdc.gov,"linked medicare data, nhcs, research-data-center, sdoh-access-to-health-care, sdoh-source-of-health-care, sdoh-use-of-health-care",nchs survey data linked to centers for medicare & medicaid services (cms) 1999-2013 medicare data
https://data.cdc.gov/resource/9gay-j69q.csv,9gay-j69q,National Center for Health Statistics,"adolescent, adult, african americans, age, asian continental ancestry group, child, chronic conditions, continental population groups, european continental ancestry group, health risk factors, health us, hispanic americans, obesity, overweight, poverty, sdoh-poverty-income, sex","obesity among children and adolescents aged 2–19 years, by selected characteristics: united states"
https://data.cdc.gov/resource/9hdi-ekmb.csv,9hdi-ekmb,National Center for Health Statistics,"all causes, coronavirus, covid-19, deaths, mortality, nchs, nvss, provisional, sdoh-environmental, social vulnerability index, united states, weekly",provisional covid-19 deaths by week and county social vulnerability index
https://data.cdc.gov/resource/9ixb-fwvy.csv,9ixb-fwvy,National Center for Health Statistics,"health statistics, nchs, nhanes, nutrition, research-data-center, sdoh-access-to-health-care, sdoh-civic-participation, sdoh-employment, sdoh-environmental, sdoh-food-access, sdoh-food-insecurity, sdoh-health-literacy, sdoh-higher-education, sdoh-high-school, sdoh-housing-quality, sdoh-language, sdoh-poverty-income, sdoh-social-emotional, sdoh-source-of-health-care, sdoh-transportation, sdoh-use-of-health-care, sdoh-workplace, surveillance, survey",national health and nutrition examination survey (nhanes) restricted data: 1999 to present
